Date,Last Price,Volume,SMAVG (15)
7/11/2019,1144.08,1300529,1463605
7/10/2019,1140.91,1535546,1465971
7/9/2019,1124.29,1473622,1478689
7/8/2019,1116.79,1494371,1446347
7/5/2019,1132.665,1489678,1428675
7/3/2019,1122.99,1007718,1398741
7/2/2019,1112.6,1031919,1410470
7/1/2019,1100,1464449,1453396
6/28/2019,1082.8,1683568,1450797
6/27/2019,1076.63,1203914,1484650
6/26/2019,1080.32,1734873,1501124
6/25/2019,1087.58,1582217,1542095
6/24/2019,1116.7,1211893,1638318
6/21/2019,1125.37,2538872,1880491
6/20/2019,1113.2,1200908,1816531
6/19/2019,1104.51,1336015,1796765
6/18/2019,1105.24,1726312,1828465
6/17/2019,1093.89,988491,1783214
6/14/2019,1086.3,1229304,1779158
6/13/2019,1091.01,1040661,1781249
6/12/2019,1079.1,1183650,1774623
6/11/2019,1081.04,1675817,1764263
6/10/2019,1082.76,1425464,1754550
6/7/2019,1068.37,2191357,1744056
6/6/2019,1047.76,1451026,1715658
6/5/2019,1044.64,2349436,1816597
6/4/2019,1054.49,3025564,1794605
6/3/2019,1038.74,4844480,1745013
5/31/2019,1106.5,1579481,1527545
5/30/2019,1121.41,904419,1520763
5/29/2019,1119.94,1811510,1545537
5/28/2019,1139.56,1047554,1546785
5/24/2019,1138.61,927651,1582861
5/23/2019,1145.34,1260657,1659642
5/22/2019,1155.85,941279,1725924
5/21/2019,1154.44,1028248,1910974
5/20/2019,1144.66,1530126,2286348
5/17/2019,1168.78,1268050,2425563
5/16/2019,1184.5,1765388,2431788
5/15/2019,1170.8,2965117,2418573
5/14/2019,1124.86,2019550,2298885
5/13/2019,1136.59,2281686,2270478
5/10/2019,1167.64,1582460,2181994
5/9/2019,1167.97,1477752,2159015
5/8/2019,1170.78,1276022,2161718
5/7/2019,1178.86,1830238,2152056
5/6/2019,1193.46,1588684,2109372
5/3/2019,1189.55,2079376,2084500
5/2/2019,1166.51,2254890,2002538
5/1/2019,1173.32,3717018,1903909
4/30/2019,1198.96,6658855,1721698
4/29/2019,1296.2,3618362,1350280
4/26/2019,1277.42,1361419,1175792
4/25/2019,1267.34,1567161,1155103
4/24/2019,1260.05,1169797,1124600
4/23/2019,1270.59,1593449,1107574
4/22/2019,1253.76,954419,1093718
4/18/2019,1241.47,1237788,1133064
4/17/2019,1240.14,1518286,1125220
4/16/2019,1231.91,1131099,1122094
4/15/2019,1226.53,1189974,1149194
4/12/2019,1222.73,1215610,1161786
4/11/2019,1209.59,849947,1195488
4/10/2019,1206.45,775456,1232656
4/9/2019,1202.69,983840,1319322
4/8/2019,1208.28,1087588,1353027
4/5/2019,1211.45,1001044,1362001
4/4/2019,1219.45,1051089,1468154
4/3/2019,1210.81,1109614,1489086
4/2/2019,1205.54,914413,1501402
4/1/2019,1198.98,1385595,1581173
3/29/2019,1176.89,1544615,1588909
3/28/2019,1172.27,1120122,1564917
3/27/2019,1178.01,1471402,1590531
3/26/2019,1189.84,1537606,1571107
3/25/2019,1197.38,1378849,1602248
3/22/2019,1207.65,1721133,1628623
3/21/2019,1236.13,1407480,1627498
3/20/2019,1226.43,2075442,1625090
3/19/2019,1202.46,1489407,1560386
3/18/2019,1188.55,1222203,1577842
3/15/2019,1190.3,2593338,1583720
3/14/2019,1192.53,1365072,1508949
3/13/2019,1199.06,1294354,1528877
3/12/2019,1197.25,2110979,1522889
3/11/2019,1179.26,1501633,1455441
3/8/2019,1149.97,1184732,1448088
3/7/2019,1150.85,1504328,1439459
3/6/2019,1164.94,1180052,1432643
3/5/2019,1169.19,2004723,1470758
3/4/2019,1153.42,1774467,1398768
3/1/2019,1148.52,1704258,1353026
2/28/2019,1126.55,1371355,1367067
2/27/2019,1122.89,1104881,1436498
2/26/2019,1122.01,1751261,1637158
2/25/2019,1117.33,1310362,1781780
2/22/2019,1116.56,1471783,1804811
2/21/2019,1104.21,1663980,1840796
2/20/2019,1120.59,1204533,1828041
2/19/2019,1126.51,1099259,1813422
2/15/2019,1119.63,1391348,1837919
2/14/2019,1129.2,1055297,1822748
2/13/2019,1128.63,1402087,1849458
2/12/2019,1127.58,1751771,1839968
2/11/2019,1102.12,924881,1855290
2/8/2019,1102.38,1088327,1943269
2/7/2019,1105.91,1914877,1953701
2/6/2019,1122.89,2412820,1953645
2/5/2019,1151.87,4114790,1917847
2/4/2019,1141.42,3920591,1738494
2/1/2019,1118.62,1655813,1580003
1/31/2019,1125.89,2011572,1558273
1/30/2019,1097.99,1472647,1514163
1/29/2019,1070.06,985248,1534030
1/28/2019,1079.86,1466714,1626524
1/25/2019,1101.51,1163788,1682172
1/24/2019,1084,1455948,1744450
1/23/2019,1084.41,1259738,1753613
1/22/2019,1078.63,1981594,1779997
1/18/2019,1107.3,2244569,1762448
1/17/2019,1099.12,1244801,1766130
1/16/2019,1089.51,1914041,1837534
1/15/2019,1086.51,1875852,1831129
1/14/2019,1051.51,1424486,2054905
1/11/2019,1064.47,1543238,2138850
1/10/2019,1078.83,1329861,2230183
1/9/2019,1081.65,1349912,2286994
1/8/2019,1085.37,1770654,2363437
1/7/2019,1075.92,2372667,2366590
1/4/2019,1078.07,2301428,2291705
1/3/2019,1025.47,2097957,2234808
1/2/2019,1054.68,1593395,2207783
12/31/2018,1044.96,1655504,2213733
12/28/2018,1046.68,1718352,2245640
12/27/2018,1052.9,2299806,2289205
12/26/2018,1047.85,2315862,2287984
12/24/2018,984.67,1817955,2325356
12/21/2018,991.25,5232490,2403048
12/20/2018,1023.58,2683670,2157584
12/19/2018,1035.46,2913237,2132147
12/18/2018,1043.41,2182019,2048094
12/17/2018,1025.65,2496551,2007822
